Student_ID,Study_Hours,Attendance_Percent,Assignments_Completed,Sleep_Hours,Experience_Years,City,Expected_Salary_LPA
1041,2.1,98.3,6.0,6.2,3.0,Delhi,88.2
1042,5.5,66.3,2.0,7.7,3.0,Delhi,97.99
1043,1.3,77.4,2.0,4.2,4.0,Gurgaon,79.84
1044,9.2,68.5,6.0,6.8,0.0,Noida,102.02
1045,3.3,67.8,4.0,4.8,2.0,Delhi,73.77
1046,7.0,56.7,5.0,4.6,3.0,Gurgaon,89.55
1047,3.8,82.4,4.0,5.7,0.0,Delhi,81.0
1048,5.7,77.6,2.0,4.5,6.0,Delhi,107.94
1049,5.9,57.3,2.0,6.3,3.0,Delhi,96.2
1050,2.7,67.5,6.0,5.6,5.0,Delhi,91.24
1051,9.7,95.9,7.0,8.9,6.0,Delhi,155.3
1052,8.0,65.8,4.0,4.9,7.0,Gurgaon,112.68
1053,9.5,61.5,10.0,4.1,3.0,Noida,114.16
1054,9.1,77.0,6.0,7.8,2.0,Gurgaon,120.89
1055,6.4,99.4,9.0,8.0,1.0,Noida,119.39
1056,9.3,65.9,2.0,5.7,6.0,Delhi,120.61
1057,1.8,85.2,6.0,6.3,7.0,Noida,89.49
1058,2.8,89.3,4.0,7.2,4.0,Noida,94.17
1059,1.4,65.7,2.0,4.2,4.0,Noida,64.45
1060,3.9,77.4,5.0,8.7,2.0,Noida,100.81
1061,4.5,71.6,6.0,8.4,3.0,Gurgaon,101.29
1062,3.4,83.5,8.0,5.3,0.0,Noida,82.56
1063,8.5,83.5,2.0,4.1,3.0,Gurgaon,108.21
1064,4.2,79.1,4.0,8.7,2.0,Delhi,88.88
1065,3.5,59.1,3.0,6.5,4.0,Noida,84.52
1066,5.9,92.6,10.0,6.7,3.0,Delhi,123.52
1067,2.3,69.4,7.0,7.4,4.0,Gurgaon,85.82
1068,8.2,63.4,5.0,7.1,6.0,Gurgaon,122.4
1069,1.7,56.8,9.0,8.7,7.0,Delhi,95.72
1070,9.9,81.6,9.0,8.7,0.0,Delhi,123.33
1071,8.0,85.5,3.0,8.3,6.0,Noida,126.04
1072,2.8,55.7,7.0,7.2,4.0,Delhi,83.08
1073,1.0,78.0,8.0,8.0,4.0,Delhi,86.93
1074,8.3,65.2,3.0,7.4,1.0,Delhi,97.69
1075,7.4,84.0,3.0,6.9,1.0,Delhi,114.65
1076,7.6,62.8,2.0,4.6,6.0,Noida,109.38
1077,7.9,86.1,9.0,6.3,5.0,Gurgaon,130.07
1078,1.7,72.4,2.0,8.1,6.0,Gurgaon,88.2
1079,4.2,97.2,10.0,7.1,1.0,Gurgaon,105.15
1080,2.0,61.2,7.0,8.1,4.0,Delhi,86.27
1081,8.8,70.3,8.0,7.3,2.0,Gurgaon,123.19
1082,5.0,60.1,8.0,5.0,6.0,Delhi,118.24
1083,4.0,96.6,4.0,5.4,4.0,Noida,98.06
1084,1.6,94.5,3.0,5.1,2.0,Gurgaon,75.97
1085,3.8,66.6,10.0,5.9,2.0,Delhi,92.94
1086,3.9,84.7,9.0,4.2,1.0,Delhi,82.12
1087,7.6,91.8,8.0,7.1,6.0,Noida,126.32
1088,6.7,80.0,10.0,5.7,3.0,Noida,123.82
1089,9.0,78.8,5.0,7.3,3.0,Delhi,120.55
1090,5.2,65.9,5.0,5.9,1.0,Delhi,87.91
1091,2.1,59.2,2.0,7.4,1.0,Noida,70.42
1092,7.4,95.4,9.0,5.7,3.0,Noida,125.78
1093,7.8,77.4,4.0,5.3,0.0,Delhi,122.53
1094,6.1,83.5,8.0,6.5,4.0,Noida,121.49
1095,7.9,70.3,3.0,7.5,5.0,Delhi,115.7
1096,5.4,70.7,3.0,5.7,6.0,Delhi,99.2
1097,5.7,87.7,8.0,8.7,5.0,Noida,113.75
1098,4.8,95.4,7.0,4.2,4.0,Delhi,109.07
1099,1.2,94.9,4.0,6.1,7.0,Delhi,92.42
1100,2.0,90.1,10.0,8.8,1.0,Gurgaon,87.22
